Processed at: 11/15/2022 9:01:11 PM

ID|Full_Name|Total_Courses|Courses_Complete|Courses_Incomplete|Courses_InProgress
1|Binnie Youll|7|2|3|2
2|Trescha Thebe|8|2|4|2
3|Rose Sagar|8|6|2|0
4|Layton Prestedge|11|2|5|4
5|Markos Gainsborough|15|7|3|5
6|Putnam Cordero|13|4|6|3
7|Robers Bendin|10|4|4|2
8|Gearalt Mattiello|13|2|6|5
9|Jesse Ace|7|3|1|3
10|Frasier Pothbury|16|2|7|7
11|Claretta Klas|10|2|3|5
12|Becky Gudgeon|10|4|1|5
13|Adiana Fawdry|12|8|1|3
14|Renelle Moult|9|1|2|6
15|Alexa Sewart|17|5|6|6
16|Aron Talloe|10|2|6|2
17|Augusto Pennazzi|17|5|6|6
18|Diego Itzhaki|10|3|1|6
19|Sawyer Ingreda|7|1|3|3
20|Isa Pealing|13|4|4|5
21|Jennine Bulle|10|4|5|1
22|Darryl Osborne|13|4|7|2
23|Salvador Billitteri|8|3|1|4
24|Dallon Johanchon|16|6|5|5
25|Ambrosius Guisby|8|2|4|2
26|Alonzo O'Ferris|9|5|2|2
27|Clyve McCaughran|13|3|5|5
28|Curcio Gocher|10|4|2|4
29|Lorne Iacobucci|9|3|4|2
30|Fanechka Heaysman|12|2|7|3
31|Annabelle Matthias|11|5|4|2
32|Sigfrid Levine|6|3|3|0
33|Wynn Cescotti|14|5|4|5
34|Reine Dumingo|14|2|6|6
35|Kelby Dineges|7|3|2|2
36|Katine Newnham|8|3|2|3
37|Darell Endon|7|2|3|2
38|Prentiss Oldale|13|0|7|6
39|Robin Brockman|13|3|6|4
40|Emerson Labrow|7|2|1|4
41|Shandie Mitcheson|7|1|1|5
42|Duff Ferenczy|12|4|4|4
43|Bastian Gaythorpe|11|7|2|2
44|Arlie Smitton|12|7|3|2
45|Katharina Yuryshev|13|3|5|5
46|Sascha MacDonagh|11|3|2|6
47|Hana Anstee|8|3|4|1
48|Hillary Smallacombe|19|8|7|4
49|Zitella Largen|4|1|1|2
50|Bethany Cantillion|13|3|4|6
51|Leda Lamkin|10|1|7|2
52|Mirella Betjes|6|0|2|4
53|Lisbeth Alvin|7|4|1|2
54|Adi MacKomb|11|4|3|4
55|Bartolomeo Benzie|8|1|4|3
56|Arluene Stegers|9|1|2|6
57|Thain Flaunier|6|1|2|3
58|Rodge Bigmore|12|5|4|3
59|Gisela Brockwell|6|1|3|2
60|Lester Skillman|9|2|4|3
61|Davon Jantzen|5|1|3|1
62|Nevsa Torbet|6|0|2|4
63|Cassey Kift|16|5|2|9
64|Skyler Collier|10|5|4|1
65|Eleanore Stanyan|6|1|3|2
66|Drusie Vorley|8|1|4|3
67|Germain Stenton|16|3|9|4
68|Ben Mizzi|5|1|2|2
69|Rozelle Worden|6|3|1|2
70|Wilie Wakeley|4|1|1|2
71|Irina Loiterton|10|3|2|5
72|Elizabet Lauks|5|1|4|0
73|Polly Myerscough|6|0|2|4
74|Deeyn Langthorne|10|3|4|3
75|Maighdiln Frisel|12|3|6|3
76|Row Lucken|9|3|3|3
77|Emylee Woolnough|13|4|3|6
78|Caren Ballintyne|10|4|3|3
79|Sibley Cudiff|11|5|2|4
80|Leyla Landre|5|1|3|1
81|Derrick Raggett|9|3|1|5
82|Toddie Eldershaw|13|5|5|3
83|Krispin Dunstone|13|5|3|5
84|Trevor Teaz|9|3|2|4
85|Nickola Lander|5|2|1|2
86|Elsi Breffit|13|5|2|6
87|Lincoln Brooksbank|19|8|7|4
88|Helyn Corson|10|2|4|4
89|Willi Piggot|4|1|0|3
90|Luigi Geerling|9|4|3|2
91|Lotte Ciobotaro|8|5|1|2
92|Barn Bedle|6|2|4|0
93|Jeffy Brooke|6|1|2|3
94|Louella Iapico|6|2|3|1
95|Ilise Dunhill|7|2|3|2
96|Mitzi Yate|6|3|2|1
97|Normand Gimber|19|6|6|7
98|Hinda Rosedale|11|1|3|7
99|Gregoire Eason|18|3|8|7
100|Rhody Yushin|11|4|4|3
