Processed at: 12/5/2022 12:03:45 PM

Course_Code|Student_IDs|Primary_State
PROG00|80,87,17,54,87,41,77,30,69,37,50,8,8|Virginia
PROG01|37,19,91,4,41,91,35,30|Virginia
PROG02|70,15,17,77,46,33|Virginia
PROG03|67,43,24,75,54,54,75,83,25,23,16,24,18,30,42|Wisconsin
PROG04|99,5,78,45,12,13,16,10,8|Virginia
PROG05|74,82,87,33,67|Nevada
PROG06|46,22,3,43,36,10,34,3,51,77,6|Washington
PROG07|69,86,16|Virginia
PROG08|3,25,82,64,22,15,15,23,28,56,61,81,15,39,98,18|Wisconsin
PROG09|46,43,54,64,46,90,31,66,92|Virginia
PROG10|8,60,53,8,95,73,38,79,34,4,82|Texas
PROG11|11,88,12,16,32,26,39,87,22,8,95,34,58,18,65,67,60|Virginia
PROG12|6,44,4,32,34,21,82,75,67,25|Washington
PROG13|79,39,82,22,100,10,24,87,64,73|Texas
PROG14|88,65,48,11,86,11,13,75,6,100|Washington
PROG15|19,51,77,39,81,13,58,10|Wisconsin
PROG16|27,79,79,51,84,24,72,98,83,96,48|Texas
PROG17|59,20,86,95,48,94,48,75,96,20,93,39|Texas
PROG18|29,96,39,38,29,27,59,87,61|Texas
PROG19|35,42,14,85,11,6|Wisconsin
PROG20|60,22,31,1,10,76,85,99,78,42|Wisconsin
PROG21|92,31,2,13,29,55,17,82,84,16,27,34,41,83,60|Virginia
PROG22|83,24,51,67,42,99,48,99,55|Wisconsin
PROG23|28,57,49,12,74,67,55|Texas
PROG24|81,30,15,10,15,69,24,37,26,27,99|Wisconsin
PROG25|84,59,100,42|Wisconsin
PROG26|8,100,84,12,20,21,97|Oklahoma
PROG27|40,26,99,76,82,14,88,72,21,5,38,21,51,93,56,42,99,54,99|Wisconsin
PROG28|94,51,81,86,3,24,63,96,3,81|Wisconsin
PROG29|8,81,48,88,33,59,57,51,46,20|Wisconsin
PROG30|21,2,32,44,45,66,48,90,52,64,38|Texas
PROG31|50,31,17,7,33,15,47,99,62,100,24|Virginia
PROG32|66,48,31,37,40,17,30,50,94,1,79,52,11|Virginia
PROG33|90,14,15,10,44,52,33,79,38,10,34,10,17,58|Virginia
PROG34|40,89,86,45,28,30,99,35,22,28,89,9,86,83|Virginia
PROG35|78,12,52,24|Texas
